component_id,reporting_group,artifact_id,descriptor,descriptor_value,artifact_median_component_latency_ns,observed_range_only
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_013,canonical_bytes,2411,68700.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_013,bundle_bytes,2411,68700.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_014,canonical_bytes,2342,59750.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_014,bundle_bytes,2342,59750.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_015,canonical_bytes,2185,64850.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_015,bundle_bytes,2185,64850.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_016,canonical_bytes,2569,67900.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_016,bundle_bytes,2569,67900.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_017,canonical_bytes,3696,84450.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_017,bundle_bytes,3696,84450.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_018,canonical_bytes,2129,61600.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_018,bundle_bytes,2129,61600.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_019,canonical_bytes,2623,67950.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_019,bundle_bytes,2623,67950.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_020,canonical_bytes,2301,69500.0,True
H1,H1_A22,A22_COMPOSITE_NEW_ORDER_020,bundle_bytes,2301,69500.0,True
H1,H1_A22,A22_COMPOSITE_PRIORITY_DUE_001,canonical_bytes,2389,62150.0,True
H1,H1_A22,A22_COMPOSITE_PRIORITY_DUE_001,bundle_bytes,2389,62150.0,True
H1,H1_A22,A22_COMPOSITE_PRIORITY_DUE_002,canonical_bytes,2213,64500.0,True
H1,H1_A22,A22_COMPOSITE_PRIORITY_DUE_002,bundle_bytes,2213,64500.0,True
